"Section Name","Short Title","Min Cred","Max Cred","BLDG","ROOM","DAYS","Start Time","End Time","Faculty Name","Avail Status","Prerequisites","Coreq","Notes","Location","Seats Available","Seat Capacity"
"ADED-354-55","PROBLEMS OF LITERACY","3.00000","0.00000","","","","","","Schrems, Tracy","Clsd","","","","MC","-1","0"
"ADED-360-01","LITERACY IN THE CONTENT AREA","3.00000","0.00000","PLASPLAS","013013","MWFT","8:30 AM,10:35 AM","9:20 AM,1:05 PM","Schrems, Tracy","Open","","","","MC","2","25"
"ADED-406-01","EVALUATING LEARNERS &LEARNING","3.00000","0.00000","PLASPLAS","306306","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","Chimbel, Bethanne","Open","","","","MC","2","20"
"ADED-495-01","SEC.STUD.TEACHING:GRADES 7-9","5.00000","0.00000","","","MTWTHF","8:00 AM,","11:59 AM,","Morris, Jon","Open","","","","MC","28","30"
"ADED-496-01","SEC.STUD.TEACHING:GRADES10-12","5.00000","0.00000","","","MTWTHF","12:00 PM,","4:00 PM,","Morris, Jon","Open","","","","MC","28","30"
"ADED-528-72L01","LEGAL ISSUES FOR TEACHERS","3.00000","0.00000","","","","","","Kirkwood, Pamela","Open","","","","OL","12","25"
"ADED-540-F1L01","EVAL.LEARNERS/LEARNING","3.00000","0.00000","","","","","","Chimbel, Bethanne","Open","","","","OL","11","20"
"ADED-588-F1L01","SECONDARY STUDENT TEACHING","3.00000","0.00000","","","MTWTHF","12:00 PM","4:00 PM","Morris, Jon","Open","","","","OL","68","75"
"ARBC-102-01","ELEM ARABIC II","3.00000","0.00000","PLASPLASPLAS","202202202","MWFT","12:30 PM,8:30 AM,10:35 AM","1:20 PM,9:20 AM,1:05 PM","Calabria, Michael","Open","ARBC 101","","","MC","10","12"
"ARBC-202-01","INTERM ARABIC II","3.00000","0.00000","PLASPLAS","202202","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","Calabria, Michael","Open","ARBC 201","","","MC","5","10"
"ARP-100-01","ACADEMIC RESTORATION PROGRAM","0.00000","0.00000","PLAS","202","TTH","10:00 AM","10:50 AM","Murphy, Conor","Open","","","","","3","12"
"ARP-100-02","ACADEMIC RESTORATION PROGRAM","0.00000","0.00000","PLAS","219","TTH","2:30 PM","3:20 PM","Morabito, Nicholas","Open","","","","","4","12"
"ARP-100-03","ACADEMIC RESTORATION PROGRAM","0.00000","0.00000","PLAS","219","WF","8:30 AM","9:20 AM","Torre, Nicholas","Open","","","","","3","12"
"ARTH-102-01","SURVEY OF WESTERN ART II","3.00000","0.00000","","","",",",",","Prince, Jennifer","Clsd","","","","OL","-4","24"
"ARTH-322-01","CONTEMPORARY ISSUES IN ART","3.00000","0.00000","","","",",",",","Prince, Jennifer","Clsd","","","","OL","-3","15"
"BI-300A-01","GEN.BUSINESS INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-4","0"
"BI-300B-01","ADV.GEN.BUS.INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-1","0"
"BI-301A-01","ACCOUNTING INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-14","0"
"BI-301B-01","ADV.ACCT.INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-7","0"
"BI-302A-01","MGMT SCIENCE INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-19","0"
"BI-302B-01","ADV.MGMT.SCI.INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-8","0"
"BI-303A-01","MARKETING INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-24","0"
"BI-303B-01","ADV.MKT.INTERNSHIP","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-4","0"
"BI-309A-01","SPORTS MANAGEMENT INTERN","1.00000","3.00000","","","","","","Kasperski, Michael","Clsd","","","","MC","-1","0"
"BIF-401-01","BIOINFORMATICS SEMINAR","1.00000","0.00000","","","","","","Benington, Joel","Open","","","","MC","14","15"
"BIO-101-01","FUNDAMENTALS OF BIOLOGY","4.00000","0.00000","WALSWALS","201201","TTHS","8:30 AM,1:10 PM","9:45 AM,3:40 PM","Messer, Christopher","Open","","","","MC","2","32"
"BIO-101-02","FUNDAMENTALS OF BIOLOGY","4.00000","0.00000","WALSWALS","201201","TTHT","10:00 AM,1:10 PM","11:15 AM,3:40 PM","Altman, Karie","Clsd","","","","MC","0","32"
"BIO-101-03","FUNDAMENTALS OF BIOLOGY","4.00000","0.00000","WALSWALS","201201","MWFT","8:30 AM,10:35 AM","9:20 AM,1:05 PM","Messer, Christopher","Open","","","","MC","1","32"
"BIO-106-03","BIOLOGICAL SCIENCE II","4.00000","0.00000","WALSWALS","201G21","MWFS","11:30 AM,3:45 PM","12:20 PM,6:15 PM","Dykstra, Kaitlyn","Clsd","","","","MC","0","28"
"BIO-106-04","BIOLOGICAL SCIENCE II","4.00000","0.00000","WALSWALS","201G21","MWFS","10:30 AM,3:45 PM","11:20 AM,6:15 PM","Dykstra, Kaitlyn","Open","","","","MC","1","28"
"BIO-112-01","HUMAN ECOLOGY","3.00000","0.00000","DELADELA","212212","TTHT","1:00 PM,8:00 AM","2:15 PM,10:30 AM","Altman, Karie","Clsd","","","","MC","0","16"
"BIO-112-02","HUMAN ECOLOGY","3.00000","0.00000","DELADELA","212212","TTHS","2:30 PM,8:00 AM","3:45 PM,10:30 AM","Altman, Karie","Clsd","","","","MC","0","16"
"BIO-212-01","HUMAN ANATOMY & PHYSIOLOGY","4.00000","0.00000","WALSWALS","G21G21","TTHS","8:30 AM,1:10 PM","9:45 AM,3:40 PM","Jodush, Stephen","Clsd","","","","MC","-4","40"
"BIO-292-01","CELL BIOLOGY","3.00000","0.00000","DELADELA","306306","MWFW","10:30 AM,8:00 AM","11:20 AM,10:30 AM","Ryan, Sean","Clsd","","","","MC","-3","24"
"BIO-310-01","PLANT BIOLOGY","3.00000","0.00000","WALSWALS","204204","MWS","11:30 AM,10:35 AM","12:20 PM,1:05 PM","Vogel, Kevin","Open","BIO 106","","","MC","3","8"
"BIO-319-01","RESEARCH PARTICIPATION II","1.00000","0.00000","","","",",",",","Dykstra, Kaitlyn","Clsd","","","","MC","-2","0"
"BIO-319-02","RESEARCH PARTICIPATION II","1.00000","0.00000","","","",",",",","Zhang, Xiao-Ning","Clsd","","","","MC","-1","0"
"BIO-319-03","RESEARCH PARTICIPATION II","1.00000","0.00000","","","","","","Altman, Karie","Clsd","","","","MC","-1","0"
"BIO-332-01","PHYSIOL & ANAT OF HUMAN II","4.00000","0.00000","DELADELA","212212","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","Jodush, Stephen","Clsd","","","","MC","-4","20"
"BIO-350-01","NEUROBIOLOGY","3.00000","0.00000","DELADELA","212212","TTHT","10:00 AM,1:10 PM","11:15 AM,3:40 PM","Benington, Joel","Open","BIO 105 & BIO 106","","","MC","2","16"
"BIO-399-01","BIOLOGY SEMINAR","1.00000","0.00000","DELA","221","T","4:20 PM,","5:20 PM,","Zhang, Xiao-Ning","Clsd","BIO 292","","","MC","0","6"
"BIO-419-01","RES. PARTICIPATION IV","2.00000","0.00000","","","",",",",","Ryan, Sean","Clsd","","","","MC","-1","0"
"BIO-419-02","RES. PARTICIPATION IV","2.00000","0.00000","","","",",",",","Zhang, Xiao-Ning","Clsd","","","","MC","-1","0"
"BIO-419-03","RES. PARTICIPATION IV","2.00000","0.00000","","","","","","Dykstra, Kaitlyn","Open","","","","MC","4","6"
"BIO-457-01","SENIOR FACULTY COLLOQUIUM","0.00000","0.00000","WALS","G21","TH","4:15 PM,","5:45 PM,","Altman, Karie","Open","","","","MC","15","25"
"BIO-460-01","BIOCHEMISTRY SEMINAR","1.00000","0.00000","WALSWALS","107107","MS","11:30 AM,10:35 AM","12:30 PM,1:05 PM","Zhang, Xiao-Ning","Open","","","","MC","7","10"
"BIO-466-01","MOLECULAR BIOLOGY","4.00000","0.00000","WALSWALS","201201","TTHM","11:30 AM,8:00 AM","12:45 PM,10:30 AM","Zhang, Xiao-Ning","Open","BIO 371","","","MC","6","10"
"BIO-472-01","IMMUNOLOGY","3.00000","0.00000","WALSWALS","204204","TTHS","9:00 AM,1:10 PM","9:50 AM,3:40 PM","Schwingel, Johanna","Clsd","","","","MC","-4","8"
"BIOL-101-01","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","M","1:30 PM,","4:20 PM,","Schwingel, Johanna","Clsd","","","","MC","0","16"
"BIOL-101-02","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","T","1:00 PM,","3:50 PM,","Vogel, Kevin","Clsd","","","","MC","0","16"
"BIOL-101-03","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","W","1:30 PM,","4:20 PM,","Ryan, Sean","Clsd","","","","MC","0","16"
"BIOL-101-04","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","TH","1:00 PM,","3:50 PM,","Schwingel, Johanna","Clsd","","","","MC","0","16"
"BIOL-101-05","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","M","5:30 PM,","8:20 PM,","Benington, Joel","Open","","","","MC","2","16"
"BIOL-101-06","FUNDAMENTALS OF BIOLOGY LAB","0.00000","0.00000","WALS","G01","T","5:30 PM,","8:20 PM,","Ryan, Sean","Open","","","","MC","1","16"
"BIOL-106-01","BIOLOGICAL SCI II LAB","0.00000","0.00000","DELA","215","M","1:30 PM,","4:20 PM,","Knittel, Romy","Clsd","","","","MC","0","14"
"BIOL-106-02","BIOLOGICAL SCI II LAB","0.00000","0.00000","DELA","215","T","1:00 PM,","3:50 PM,","Knittel, Romy","Clsd","","","","MC","0","14"
"BIOL-106-03","BIOLOGICAL SCI II LAB","0.00000","0.00000","DELA","215","W","1:30 PM,","4:20 PM,","Knittel, Romy","Open","","","","MC","3","14"
"BIOL-106-04","BIOLOGICAL SCI II LAB","0.00000","0.00000","DELA","215","TH","1:00 PM,","3:50 PM,","Knittel, Romy","Clsd","","","","MC","0","14"
"BIOL-106-05","BIOLOGICAL SCI II LAB","0.00000","0.00000","DELA","215","F","1:30 PM,","4:20 PM,","Knittel, Romy","Clsd","","","","MC","0","0"
"BIOL-212-01","HUMAN ANAT. & PHYSIOL. LAB","0.00000","0.00000","DELA","205","M","1:30 PM,","4:20 PM,","Jodush, Stephen","Clsd","","","","MC","-4","10"
"BIOL-212-02","HUMAN ANAT. & PHYSIOL. LAB","0.00000","0.00000","DELA","205","W","1:30 PM,","4:20 PM,","Messer, Christopher","Clsd","","","","MC","-5","10"
"BIOL-212-03","HUMAN ANAT. & PHYSIOL. LAB","0.00000","0.00000","DELA","205","F","1:30 PM,","4:20 PM,","Messer, Christopher","Clsd","","","","MC","-5","10"
"BIOL-293-01","GENETICS/CELL BIO LAB","1.00000","0.00000","WALS","105","TH","1:00 PM,","3:50 PM,","Dykstra, Kaitlyn","Clsd","","","","MC","-3","10"
"BIOL-293-02","GENETICS/CELL BIO LAB","1.00000","0.00000","WALS","105","T","1:00 PM,","3:50 PM,","Dykstra, Kaitlyn","Clsd","","","","MC","-1","10"
"BIOL-310-01","PLANT BIOLOGY LAB","0.00000","0.00000","WALS","G03","M","1:30 PM,","4:20 PM,","Vogel, Kevin","Open","","","","MC","3","8"
"BIOL-332-01","PHYSIO/ANAT OF HUMAN LAB II","0.00000","0.00000","DELA","205","T","1:00 PM,","3:50 PM,","Jodush, Stephen","Clsd","","","","MC","-1","10"
"BIOL-332-02","PHYSIO/ANAT OF HUMAN LAB II","0.00000","0.00000","DELA","205","TH","1:00 PM,","3:50 PM,","Jodush, Stephen","Clsd","","","","MC","-3","10"
"BIOL-350-01","NEUROBIOLOGY LAB","0.00000","0.00000","","","",",",",","Benington, Joel","Open","","","","MC","2","16"
"BIOL-466-01","MOLECULAR BIO LAB","0.00000","0.00000","WALS","107","TH","1:00 PM,","3:50 PM,","Zhang, Xiao-Ning","Open","","","","MC","6","10"
"BIOL-472-01","IMMUNOLOGY LAB","0.00000","0.00000","WALS","205","W","1:30 PM,","4:20 PM,","Schwingel, Johanna","Clsd","","","","MC","-4","8"
"BIS-220-01","BUSINESS TECHNOLOGY APPLICATI","3.00000","0.00000","WALSWALS","104104","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","Kulsum, Ummee","Clsd","","","","MC","0","25"
"BIS-220-02","BUSINESS TECHNOLOGY APPLICATI","3.00000","0.00000","WALSWALS","104104","MWFW","10:30 AM,8:00 AM","11:20 AM,10:30 AM","Kulsum, Ummee","Clsd","","","","MC","0","25"
"BIS-220-03","BUSINESS TECHNOLOGY APPLICATI","3.00000","0.00000","WALSWALS","104104","MWFS","11:30 AM,10:35 AM","12:20 PM,1:05 PM","Kulsum, Ummee","Open","","","","MC","2","25"
"BIS-220-04","BUSINESS TECHNOLOGY APPLICATI","3.00000","0.00000","WALSWALS","104104","MWFW","1:30 PM,1:10 PM","2:20 PM,3:40 PM","Kulsum, Ummee","Clsd","","","","MC","0","25"
"BIS-310-01","BUSINESS INFORMATION SYSTEMS","3.00000","0.00000","SWAN","109","MWFS","8:30 AM,3:45 PM","9:20 AM,6:15 PM","Case, Carl","Clsd","","","","MC","-2","25"
"BIS-310-02","BUSINESS INFORMATION SYSTEMS","3.00000","0.00000","SWAN","109","MWFS","9:30 AM,3:45 PM","10:20 AM,6:15 PM","Case, Carl","Clsd","","","","MC","-1","25"
"BIS-310-03","BUSINESS INFORMATION SYSTEMS","3.00000","0.00000","SWAN","109","MWFS","10:30 AM,3:45 PM","11:20 AM,6:15 PM","Case, Carl","Clsd","","","","MC","-2","25"
"BIS-420-01","INFO & DECISION SUPPORT SYS","3.00000","0.00000","WALS","104","TTH","4:00 PM,","5:15 PM,","Jahed, Mohammed","Open","BIS 310","","","MC","6","25"
"BLX-210-01","BUSINESS LAW I","3.00000","0.00000","PLASPLAS","006006","TTHS","8:30 AM,1:10 PM","9:45 AM,3:40 PM","Smothermon, Charles","Clsd","","","","MC","0","24"
"BLX-210-02","BUSINESS LAW I","3.00000","0.00000","PLASPLAS","006006","TTHM","11:30 AM,8:00 AM","12:45 PM,10:30 AM","Smothermon, Charles","Clsd","","","","MC","-1","24"
"BLX-210-03","BUSINESS LAW I","3.00000","0.00000","PLASPLAS","006006","TTHT","1:00 PM,8:00 AM","2:15 PM,10:30 AM","Smothermon, Charles","Clsd","","","","MC","-2","24"
"BNS-401-01","BEHAVIORAL NEUROSCIENCE SEMIN","3.00000","0.00000","","","",",",",","Hager, Audrey","Open","","","","MC","14","16"
"BONA-101-01","INTRO TO ST. BONAVENTURE","3.00000","0.00000","","","",",",",","Zawicki, Kathy","Clsd","","","","OL","-12","0"
"BSM-200-01","SPORTS MGT PRACTICUM I","1.00000","0.00000","","","","","","Kasperski, Michael","Open","","","","MC","18","25"
"BSM-201-01","SPORT FACILITY & EVENT MGT","3.00000","0.00000","","","",",",",","Rutkowski, Zachary","Open","","","","OL","17","30"
"BSM-300-01","SPORTS MGT PRACTICUM II","1.00000","0.00000","","","","","","Kasperski, Michael","Open","","","","MC","15","25"
"BSM-301-01","SPORTS PROMOTION & SALES MGT","3.00000","0.00000","SWANSWAN","205205","MWFW","10:30 AM,8:00 AM","11:20 AM,10:30 AM","Demiris, Tiffany","Clsd","","","","MC","-2","15"
"BSM-309-01","SPORTS MARKETING","3.00000","0.00000","","","TTH","8:30 AM,","9:45 AM,","Kershner, Shaena","Open","MKT 301","","","OL","23","30"
"BSM-309-02","SPORTS MARKETING","3.00000","0.00000","","","TTH","10:00 AM,","11:15 AM,","Kershner, Shaena","Open","MKT 301","","","OL","7","30"
"BSM-329-01","INTRO TO SPORTS MANAGEMENT","3.00000","0.00000","SWANSWAN","205205","MWFM","9:30 AM,10:35 AM","10:20 AM,1:05 PM","Demiris, Tiffany","Open","","","crosslisted with MGT 329 01 ","MC","18","20"
"BSM-329-02","INTRO TO SPORTS MANAGEMENT","3.00000","0.00000","SWANSWAN","205205","MWFS","11:30 AM,10:35 AM","12:20 PM,1:05 PM","Demiris, Tiffany","Open","","","crosslisted with MGT 329 02","MC","14","20"
"BSM-400-01","SPORTS MGT MAJOR INTERNSHIP","3.00000","0.00000","","","","","","Kasperski, Michael","Open","","","","MC","18","25"
"BSM-401-01","STRATEGIC MGT SPORT ORGANIZ","3.00000","0.00000","SWANSWAN","205205","MWFW","1:30 PM,1:10 PM","2:20 PM,3:40 PM","Pinheiro, Ryan","Open","","","","MC","1","15"
"BUS-299FE-01","SP TOP:FRANCISCAN ECONOMY","3.00000","0.00000","SWAN","205","W","6:00 PM,","8:40 PM,","Mahar, James","Open","","","crosslisted with MBA 696FE F1F01","MC","14","20"
"CE-500-72L01","RESEARCH METHODS IN EDUC PROF","3.00000","0.00000","","","","","","Hindman, Margaret","Open","","","","SBUOL","3","20"
"CE-500-72L02","RESEARCH METHODS IN EDUC PROF","3.00000","0.00000","","","","","","Swarts, Gabriel","Open","","","","SBUOL","1","20"
"CE-500-72L03","RESEARCH METHODS IN EDUC PROF","3.00000","0.00000","","","","","","Staff, ","Open","","","","SBUOL","3","20"
"CE-501-71L01","COUN EDUC PROGRAM ORIENTATION","0.00000","0.00000","","","","","","Luedke, Ashley","Open","","","","SBUOL","4","60"
"CE-510-71L01","INTRO PROF. COUNSELING","3.00000","0.00000","","","","","","Scherer, Rebecca","Open","","","","SBUOL","2","20"
"CE-510-71L02","INTRO PROF. COUNSELING","3.00000","0.00000","","","","","","Scherer, Rebecca","Open","","","","SBUOL","4","20"
"CE-510-71L03","INTRO PROF. COUNSELING","3.00000","0.00000","","","","","","Mason, Wesley","Open","","","","SBUOL","1","20"
"CE-511-72L01","ADV HUMAN GROWTH/DEVELOPMNT","3.00000","0.00000","","","","","","Mason, Wesley","Clsd","","","","SBUOL","0","20"
"CE-511-72L02","ADV HUMAN GROWTH/DEVELOPMNT","3.00000","0.00000","","","","","","Mason, Wesley","Open","","","","SBUOL","4","20"
"CE-530-71L01","THEORIES/TECHN OF COUNSELING","3.00000","0.00000","","","","","","Smith, Nathaniel","Clsd","","","","SBUOL","0","25"
"CE-530-71L02","THEORIES/TECHN OF COUNSELING","3.00000","0.00000","","","","","","Smith, Nathaniel","Open","","","","SBUOL","9","25"
"CE-540-72L01","DIAGNOSIS OF PSYCHOPATHOLOGY","3.00000","0.00000","","","","","","Kicior, Nicholas","Clsd","","","","SBUOL","0","20"
"CE-540-72L02","DIAGNOSIS OF PSYCHOPATHOLOGY","3.00000","0.00000","","","","","","Kicior, Nicholas","Open","","","","SBUOL","4","20"
"CE-550-71L01","GROUP COUNSELING","3.00000","0.00000","","","T","7:00 PM","8:00 PM","Castillo, Jaime","Clsd","","","","SBUOL","0","20"
"CE-550-71L02","GROUP COUNSELING","3.00000","0.00000","","","","","","Kicior, Nicholas","Open","","","","SBUOL","9","20"
"CE-560-71L01","PSYCH TESTING & ASSESSMENT","3.00000","0.00000","","","","","","DeCarlo, Keli","Clsd","","","","SBUOL","0","20"
"CE-560-71L02","PSYCH TESTING & ASSESSMENT","3.00000","0.00000","","","","","","DeCarlo, Keli","Open","","","","SBUOL","2","20"
"CE-570-71L01","CAREER COUNSELING","3.00000","0.00000","","","","","","Luke, Charles","Clsd","","","","SBUOL","0","20"
"CE-570-71L02","CAREER COUNSELING","3.00000","0.00000","","","","","","Luke, Charles","Open","","","","SBUOL","6","20"
"CE-609-71L01","INTRO TO CLINICAL PRACTICE","0.00000","0.00000","","","","","","Smith, Nathaniel","Open","","","","SBUOL","33","60"
"CE-610-F1L01","PRACTICUM IN COUNSELING","3.00000","0.00000","","","T","6:00 PM","7:30 PM","Luedke, Ashley","Clsd","","","","SBUOL","0","10"
"CE-610-F1L02","PRACTICUM IN COUNSELING","3.00000","0.00000","","","M","7:00 PM","8:30 PM","Smith, Nathaniel","Clsd","","","","SBUOL","0","10"
"CE-610-F1L03","PRACTICUM IN COUNSELING","3.00000","0.00000","","","TH","7:00 PM","8:30 PM","Mullen, Alyson","Open","","","","SBUOL","3","10"
"CE-610-F1L04","PRACTICUM IN COUNSELING","3.00000","0.00000","","","M","7:00 PM","8:30 PM","Mann, Amy","Open","","","","SBUOL","3","10"
"CE-620A-F1L01","INTERN I:SCH COUNSELING","3.00000","0.00000","","","W","4:00 PM","5:30 PM","Glover, Brittany","Open","","","","SBUOL","2","12"
"CE-620B-F1L01","INTERN II:SCH COUNSELING","3.00000","0.00000","","","W","6:00 PM","7:30 PM","Glover, Brittany","Clsd","","","","SBUOL","0","10"
"CE-620B-F1L02","INTERN II:SCH COUNSELING","3.00000","0.00000","","","W","6:30 PM","8:00 PM","Cappy Gruhn, Brenda","Clsd","","","","SBUOL","0","10"
"CE-620B-F1L03","INTERN II:SCH COUNSELING","3.00000","0.00000","","","T","6:00 PM","7:30 PM","Robertson, Adrianne","Open","","","","SBUOL","6","10"
"CE-625A-F1L01","INTERN I:CMH COUNSEL","3.00000","0.00000","","","T","4:30 PM","6:00 PM","McDonald, Justin","Open","","","","SBUOL","1","11"
"CE-625A-F1L02","INTERN I:CMH COUNSEL","3.00000","0.00000","","","T","6:30 PM","8:00 PM","McDonald, Justin","Clsd","","","","SBUOL","0","12"
"CE-625B-F1L01","INTERNSHIP II: CMHC","3.00000","0.00000","","","W","6:30 PM","8:00 PM","Luedke, Ashley","Open","","","","SBUOL","2","11"
"CE-625B-F1L02","INTERNSHIP II: CMHC","3.00000","0.00000","","","T","6:30 PM","8:00 PM","Loeffler, David","Clsd","","","","SBUOL","0","11"
"CE-628-72L01","FOUNDATIONS OF SCH COUNSELING","3.00000","0.00000","","","","","","Henry, Heidi","Open","","","","SBUOL","1","25"
"CE-629-72L01","ETHICAL&LEGAL ISS IN SCH COUN","3.00000","0.00000","","","","","","Henry, Heidi","Open","","","","SBUOL","9","20"
"CE-632-71L01","CHILD & ADOLESCENT COUNSELING","3.00000","0.00000","","","","","","Luke, Charles","Open","","","","SBUOL","12","20"
"CE-633-71L01","SP TOP IN SCHOOL COUNSELING","3.00000","0.00000","","","","","","Henry, Heidi","Open","","","","SBUOL","2","20"
"CE-634-72L01","INTRVEN:SCH/CHM COUNS","3.00000","0.00000","","","","","","Payne, Demah","Open","","","","SBUOL","5","25"
"CE-636-71L01","ETH & LEGAL ISSUES IN CMH COU","3.00000","0.00000","","","","","","Hindman, Margaret","Open","","","","SBUOL","1","25"
"CE-636-72L01","ETH & LEGAL ISSUES IN CMH COU","3.00000","0.00000","","","","","","Hindman, Margaret","Open","","","","SBUOL","5","25"
